id_aeronave,modelo,nome_do_fabricante
1,"AS 350 B2","EUROCOPTER FRANCE"
2,R44,"ROBINSON HELICOPTER"
3,58TC,"BEECH AIRCRAFT"
4,206B,"BELL HELICOPTER"
5,EMB-200A,NEIVA
6,EMB-202,NEIVA
7,"R44 II","ROBINSON HELICOPTER"
8,"AS 350 B2",HELIBRAS
9,C35,"BEECH AIRCRAFT"
10,EMB-720D,NEIVA
11,182E,"CESSNA AIRCRAFT"
12,A188B,"CESSNA AIRCRAFT"
13,A36,"BEECH AIRCRAFT"
14,PA-36-375,"PIPER AIRCRAFT"
15,AT-502B,"AIR TRACTOR"
16,EMB-810D,NEIVA
17,Desconhecido,Desconhecido
18,EMB-201A,NEIVA
19,EMB-810C,EMBRAER
20,PA-25-235,"PIPER AIRCRAFT"
21,RV-4,"Van's Aircraft"
22,210L,"CESSNA AIRCRAFT"
23,V35B,"BEECH AIRCRAFT"
24,PA-46-350P,"PIPER AIRCRAFT"
25,EMB-711C,NEIVA
26,EMB-710C,NEIVA
27,172,"CESSNA AIRCRAFT"
28,152,"CESSNA AIRCRAFT"
29,737-2C3,"BOEING COMPANY"
30,737-46B,"BOEING COMPANY"
31,"EMB-820C CARAJA",EMBRAER
32,B200,"BEECH AIRCRAFT"
33,BRAVO700,"AEROBRAVO INDÚSTRIA AERONÁUTICA LTDA"
34,EMB-202A,EMBRAER
35,"EC 120 B","EUROCOPTER FRANCE"
36,AB-115,"AERO BOERO"
37,AB-180,"AERO BOERO"
38,"MONTAER MC01","MONTAER LTDA."
39,EMB-711ST,NEIVA
40,56-C-1,NEIVA
41,"BRAVO 700","AERO BRAVO INDÚSTRIA AERONÁUTICA LTDA."
42,206L-4,"BELL HELICOPTER"
43,EMB-121A,EMBRAER
44,EMB-720C,NEIVA
45,58,"BEECH AIRCRAFT"
46,PA-25-260,LAVIASA
47,PA-12,"PIPER AIRCRAFT"
48,"R22 BETA","ROBINSON HELICOPTER"
49,"ANTONOV AN-2","PZL - MIELEC"
50,A320-214,"AIRBUS S.A.S."
51,PA-31T1,"PIPER AIRCRAFT"
52,C90,"BEECH AIRCRAFT"
53,SKYPAX,Desconhecido
54,PA-25-235,LAVIASA
55,737-8EH,"BOEING COMPANY"
56,"ERJ 190-200 LR",EMBRAER
57,"GULFSTREAM 200","ISRAEL AIRCRAFT"
58,PA-34-200,"PIPER AIRCRAFT"
59,7GCBC,"AMERICAN CHAMPION"
60,J250,"CIMAFER AER E PROD"
61,ADVENTURE,"TRIKE ICAROS"
62,EMB-500,EMBRAER
63,EMB-203,EMBRAER
64,177B,"CESSNA AIRCRAFT"
65,PA-28R-201,"PIPER AIRCRAFT"
66,210N,"CESSNA AIRCRAFT"
67,PA-28-140,"PIPER AIRCRAFT"
68,FEN-U-201,FENIX
69,"RANSCOYOTE S6ES","FLYER INDÚSTRIA AERONÁUTICA LTDA."
70,"FC-04 PEGASUS","FERNANDO JOSE C. CIRIGLIANO"
71,KOLBFLYER,Desconhecido
72,PA-46R-350T,"PIPER AIRCRAFT"
73,C90A,"BEECH AIRCRAFT"
74,SZD-48-3,PZL-BIELSKO
75,RV-10,"Jader Gomes Chaves"
76,PA-31T,"PIPER AIRCRAFT"
77,35-C33A,"BEECH AIRCRAFT"
78,172RG,"CESSNA AIRCRAFT"
79,EMB-202,EMBRAER
80,NYNJA,"JOSE ANTONIO ZATTAR JR"
81,P64B,Desconhecido
82,170,"CESSNA AIRCRAFT"
83,510,"CESSNA AIRCRAFT"
84,172D,"CESSNA AIRCRAFT"
85,U206E,"CESSNA AIRCRAFT"
86,KF-IV,COAER
87,"208 ANFIBIO","CESSNA AIRCRAFT"
88,KW1,IPE
89,RV-10,"FLYER INDUSTRIA AERONAUTICA LTDA"
90,GESPI-2000,AUTOGIRO
91,"ERJ 190-200 IGW",EMBRAER
92,EMB-110P1,EMBRAER
93,S-76C,"SIKORSKY AIRCRAFT"
94,A150M,"CESSNA AIRCRAFT"
95,BUCKER,"ANDRE A.FERDINAND"
96,"VENTURA IAM","INACIO AMERICO M. NETO"
97,172R,"CESSNA AIRCRAFT"
98,DA20-C1,"DIAMOND AIRCRAFT"
99,"CONQUEST 180","DIEGO CÂMARA MORAIS"
100,F33A,"BEECH AIRCRAFT"
101,"NIMBUS 3D","SHEMPP-HIRTH FLUGZEUBAU"
102,95-B55,"BEECH AIRCRAFT"
103,M20K,"MOONEY AIRCRAFT"
104,560XLS+,"CESSNA AIRCRAFT"
105,56-C,NEIVA
106,B300,"RAYTHEON AIRCRAFT"
107,182N,"CESSNA AIRCRAFT"
108,56-B,NEIVA
109,CAP-4,"CIA AERONAUTICA PAULISTA"
110,"KOLB FLYER SS",Desconhecido
111,PARADISE,Desconhecido
112,EMB-201,NEIVA
113,PA-25-260,"PIPER AIRCRAFT"
114,R182,"CESSNA AIRCRAFT"
115,"T-51 MUSTANG",Desconhecido
116,EMB-202A,NEIVA
117,RV-7A,"IVAN CESAR ROSSONI"
118,"COMP AIR",Desconhecido
119,R22,"ROBINSON HELICOPTER"
120,170A,"CESSNA AIRCRAFT"
121,A188A,"CESSNA AIRCRAFT"
122,182P,"CESSNA AIRCRAFT"
123,182M,"CESSNA AIRCRAFT"
124,150L,"CESSNA AIRCRAFT"
125,EMB-712,EMBRAER
126,208,"CESSNA AIRCRAFT"
127,LK-10A,LAISTER-KAUFFMAN
128,"CONQUEST 180",Desconhecido
129,RV-10,"HELIO APARECIDO GARDINI"
130,210M,"CESSNA AIRCRAFT"
131,310Q,"CESSNA AIRCRAFT"
132,"EMB-820C NAVAJO",EMBRAER
133,AMT-200SO,AEROMOT
134,U206F,"CESSNA AIRCRAFT"
135,EMB-721C,NEIVA
136,737-73S,"BOEING COMPANY"
137,412,"BELL HELICOPTER"
138,A320-232,"AIRBUS S.A.S."
139,F28MK0100,FOKKER
140,PC-12,PILATUS
141,402B,"CESSNA AIRCRAFT"
142,"FOX V-5 SUPER","STARFLIGHT IND. AER. LTDA"
143,737-322,"BOEING COMPANY"
144,PA-18,"PIPER AIRCRAFT"
145,"CP-750 BERYL","SERGIO MAURO"
146,PETREL,Desconhecido
147,150J,"CESSNA AIRCRAFT"
148,T188C,"CESSNA AIRCRAFT"
149,GA200C,GIPPSLAND
150,690B,"TWIN COMMANDER"
151,180C,"CESSNA AIRCRAFT"
152,150M,"CESSNA AIRCRAFT"
153,140,"CESSNA AIRCRAFT"
154,SR22,"CIRRUS DESIGN"
155,PA-46-500TP,"PIPER AIRCRAFT"
156,1124A,"ISRAEL AIRCRAFT"
157,208B,"CESSNA AIRCRAFT"
158,EMB-712,NEIVA
159,"VIMANA R-12",Desconhecido
160,310B,"CESSNA AIRCRAFT"
161,MU-2B-20,MITSUBISHI
162,J3C-65,"PIPER AIRCRAFT"
163,ST-10,SOCATA
164,150H,"CESSNA AIRCRAFT"
165,M20TN,"MOONEY AIRCRAFT"
166,"EC 135T1","EUROCOPTER DEUTSCHLAND"
167,150F,"CESSNA AIRCRAFT"
168,"EC 225 LP","EUROCOPTER FRANCE"
169,C90GT,"HAWKER BEECHCRAFT"
170,PA-28R-200,"PIPER AIRCRAFT"
171,B200,"HAWKER BEECHCRAFT"
172,525A,"CESSNA AIRCRAFT"
173,IPE-02B,IPE
174,"AS 350 B3",HELIBRAS
175,EMB-121A1,EMBRAER
176,T210M,"CESSNA AIRCRAFT"
177,ADVENTURE,Desconhecido
178,A-122-A,XAVANTE
179,PA-32R-301T,"PIPER AIRCRAFT"
180,172M,"CESSNA AIRCRAFT"
181,PA-34-220T,"PIPER AIRCRAFT"
182,HB-350B,HELIBRAS
183,EMB-721D,NEIVA
184,560,"CESSNA AIRCRAFT"
185,"EAGLE II",Desconhecido
186,"EXCEL CARGO","JOÃO ISMAEL VICENTINI"
187,ATR-72-212A,"AEROSPATIALE AND ALENIA"
188,"RANS S-10-AVIAO",Desconhecido
189,430,"BELL HELICOPTER"
190,"EC 130 B4","EUROCOPTER FRANCE"
191,"AS 355 N","EUROCOPTER FRANCE"
192,177RG,"CESSNA AIRCRAFT"
193,206L-3,"BELL HELICOPTER"
194,58,"RAYTHEON AIRCRAFT"
195,T210N,"CESSNA AIRCRAFT"
196,"FOX NEWSTAR V7","EURIPIDES MOURA FERREIRA FILHO"
197,182T,"CESSNA AIRCRAFT"
198,182Q,"CESSNA AIRCRAFT"
199,RV-10,"MARCELO QUEIROZ DUARTE"
200,"SUPERPULSAR 100",Desconhecido
201,"ORION CLIPPER","ORION IND AER LTDA"
202,525,"CESSNA AIRCRAFT"
203,"REMOS G3-600",REMOS
204,695A,"TWIN COMMANDER"
205,ATR-42-500,"AEROSPATIALE AND ALENIA"
206,"LANCAIR 320 FB","LANCAIR INTERNATIONAL CO."
207,"EXCEL CARGO","ROBSON DIAS LIMA"
208,"RANS S6ESCOIOTE","FLYER LTDA"
209,140A,"CESSNA AIRCRAFT"
210,"STOL CH 701",AEROBRAVO
211,PA-36-300,"PIPER AIRCRAFT"
212,300,"BEECH AIRCRAFT"
213,ATR-42-300,"AEROSPATIALE AND ALENIA"
214,200,"BEECH AIRCRAFT"
215,KR-2S,"ANDRE BARBOSA S."
216,269A-1,"HUGHES HELICOPTER"
217,35-B33,"BEECH AIRCRAFT"
218,"PELICAN 500BR",Desconhecido
219,PA-18-150,"PIPER AIRCRAFT"
220,BAE125-800B,"RAYTHEON AIRCRAFT"
221,"EXCEL CARGO",Desconhecido
222,S550,"CESSNA AIRCRAFT"
223,"AS 355 F2",HELIBRAS
224,EMB-145LR,EMBRAER
225,150E,"CESSNA AIRCRAFT"
226,"IBIS GS 700",Desconhecido
227,"RANS S9 CHAOS",Desconhecido
228,RV-10,"TERRA AMBIENTAL E INCORPORADORA LTDA"
229,500,"CESSNA AIRCRAFT"
230,AMT-600,AEROMOT
231,T207A,"CESSNA AIRCRAFT"
232,A109E,AGUSTA
233,RV6,"RUY A. TEXTOR E OUTROS"
234,EMB-110P,EMBRAER
235,737-3Q8,"BOEING COMPANY"
236,LA-4-200,"LAKE AIRCRAFT"
237,PA-23-250,"PIPER AIRCRAFT"
238,N-592-420,Desconhecido
239,U206G,"CESSNA AIRCRAFT"
240,"FK-9 MKIV",Desconhecido
241,EMB-810D,EMBRAER
242,737-36N,"BOEING COMPANY"
243,EMB-145LU,EMBRAER
244,EMB-711A,NEIVA
245,182R,"CESSNA AIRCRAFT"
246,EXPLORER,"INPAER INDÚSTRIA PAULISTA DE AERONÁUTICA"
247,R-12,"HENRIQUE HAMILTON CERQUEIRA SANTOS"
248,ATR-72-212,"AEROSPATIALE AND ALENIA"
249,55C,LEARJET
250,A319-132,"AIRBUS S.A.S."
251,RV-9A,"FLYER LTDA"
252,U206B,"CESSNA AIRCRAFT"
253,210K,"CESSNA AIRCRAFT"
254,"FOX V5 SUPER",Desconhecido
255,"FOX II",Desconhecido
256,"COYOTE II",Desconhecido
257,"PELICAN 500BR","FLYER LTDA"
258,180G,"CESSNA AIRCRAFT"
259,"ALTO HENKEL","FRANCISCO BRAGANTE JUNIOR"
260,"FOX IIB",Desconhecido
261,PA-34-200T,"PIPER AIRCRAFT"
262,BEARHAWK,"GIUSEPPE ZANETTI"
263,FASCINATION,ULTRALEGER
264,E55,"BEECH AIRCRAFT"
265,"VIMANA R-12","SEVERINO BEZERRA DA COSTA"
266,"AS 350 BA",HELIBRAS
267,A320-251N,"AIRBUS S.A.S."
268,ML450T,MICROLEVE
269,AT-402B,"AIR TRACTOR"
270,EMB-711B,NEIVA
271,PIK-20D,EIRIAVION
272,ADVENTURE,"TRIKE ICAROS IND. AERONAUTICA LTDA"
273,"BRAVO 700","AEROBRAVO IND. AERONÁUTICA"
274,182F,"CESSNA AIRCRAFT"
275,777-32WER,"BOEING COMPANY"
276,"IKARUS C42","COMCO IKARUS GMBH"
277,PA-28-180,"PIPER AIRCRAFT"
278,C90GT,"RAYTHEON AIRCRAFT"
279,172A,"CESSNA AIRCRAFT"
280,P56,Desconhecido
281,RV-10,"FLYER INDÚSTRIA AERONÁUTICA LTDA."
282,ADVENTURE,"TRIKE ICAROS IND. AER. LTDA."
283,AW109SP,AGUSTA
284,MX-7-180,"MAULE AIRCRAFT"
285,PZL-106BT-601,PZL-OKECIE
286,"COZY MARK IV","PAULO R. M. MAIA"
287,120,"CESSNA AIRCRAFT"
288,206H,"CESSNA AIRCRAFT"
289,PA-31-350,"PIPER AIRCRAFT"
290,"FASCINATION D4 BK-BR","JOSE MAINHARDT"
291,407,"BELL HELICOPTER"
292,CTU,Desconhecido
293,AT-402A,"AIR TRACTOR"
294,"SZD 51 1",Desconhecido
295,"SUPER PETREL LS","FILIPE LEITE DE AZEVEDO SODRÉ"
296,172P,"CESSNA AIRCRAFT"
297,500-S,"TWIN COMMANDER"
298,PA-28R-201T,"PIPER AIRCRAFT"
299,T210R,"CESSNA AIRCRAFT"
300,AT-802A,"AIR TRACTOR"
301,"FK9 Mk IVB","PRISCILA CABRAL FIGUEIREDO"
302,"PARADISE P1 LSA","PARADISE INDUSTRIA AERONÁUTICA LTDA."
303,AA-2120,"OGLACIR ALVES SPENCE"
304,R66,"ROBINSON HELICOPTER"
305,"FOX V5 TANDEM","STARFOX LSA INDÚSTRIA AERONÁUTICA"
306,"PARADISE P1","LOUIS CRAIG WOODSON HARTMAN"
307,RV-7,"FLYER INDUSTRIA AERONÁUTICA LTDA"
308,"CONQUEST 180","Geraldo Rodrigues de Castro"
309,RV-7A,"RPC ASSESSORIA E REPRES. LTD"
310,AT-502,"AIR TRACTOR"
311,"CONQUEST 180","PATRICIA VIEIRA DE MELLO"
312,"SUPER PETREL LS","EDRA AERONÁUTICA LTDA"
313,EMB-711T,NEIVA
314,MC01,"MONTAER LTDA"
315,B36TC,"BEECH AIRCRAFT"
316,PA-31-325,"PIPER AIRCRAFT"
317,T182T,"CESSNA AIRCRAFT"
318,PA-42-720,"PIPER AIRCRAFT"
319,RV-9A,"Fuad Miguel D Epiro"
320,A36,"RAYTHEON AIRCRAFT"
321,"REGENTE -42 ELO","NEIVA INDUSTRIA AERONAUTICA LTDA"
322,T206H,"CESSNA AIRCRAFT"
323,M-4,"MAULE AIRCRAFT"
324,"FOX V5 ADVANCED","VECTOR ULTRALIGHT IND.COM.LTDA"
325,172K,"CESSNA AIRCRAFT"
326,SR20,"CIRRUS DESIGN"
327,KR2S,"OSMAR FERNANDES LEAL"
328,RV-10,"SUZANE MARI PIANA"
329,GC-1A,"GLOBE AIRCRAFT"
330,PA-28R-180,"PIPER AIRCRAFT"
331,G36,"HAWKER BEECHCRAFT"
332,RV-9A,"MENDES-ADM., PARTICIPACOES E EMPREENDIMENTOS LTDA"
333,PA-32R-301,"PIPER AIRCRAFT"
334,"ECHO P92S","JESUS FERNANDEZ DOMINGUEZ"
335,MI-171A1,"MIL HELICOPTER"
336,PA-31,"PIPER AIRCRAFT"
337,"ECHO P92","RICARDO VIDAL CESAR"
338,ATR-42-320,"AEROSPATIALE AND ALENIA"
339,"HUMMINGBIRD H1","HUMMINGBIRD INDÚSTRIA AERONÁUTICA LTDA."
340,RV-10,"MARCO AURELIO M. DE SOUSA"
341,"GREAT BLK.HAWK",Desconhecido
342,D3,"TACILLO JACOB FROHLICH"
343,"SG-ES COYOTE",Desconhecido
344,550,"CESSNA AIRCRAFT"
345,A-122-B,XAVANTE
346,ACROBATA,Desconhecido
347,PA-30,"PIPER AIRCRAFT"
348,B90,"BEECH AIRCRAFT"
349,"BUMERANGUE EX-27 CROSS-CONTRY","JOSE ROBERTO BARBOSA"
350,C-45H,"BEECH AIRCRAFT"
351,AA-155,Desconhecido
352,"TROJAN T-28B","NORTH AMERICAN"
353,"PELICAN 500 BR",Desconhecido
354,"CONQUEST 180","INPAER - IND. PAULISTA DE AERONÁUTICA"
355,T210L,"CESSNA AIRCRAFT"
356,P210N,"CESSNA AIRCRAFT"
357,"P2004 BRAVO","DURVAL DE MORAES FARIAS JUNIOR"
358,MU-2B-60,MITSUBISHI
359,RV-9A,"HENRIQUE CASTRO"
360,L410UVP-E20,LET
361,L410UVP-E20,"AIRCRAFT INDUSTRIES"
362,COYOTE,Desconhecido
363,"FENIX 0202",Desconhecido
364,TBM700N,SOCATA
365,"P2002 SIERRA RG","HERMANO VIANNA"
366,56-C-1REBOCADOR,NEIVA
367,A56TC,"BEECH AIRCRAFT"
368,V35,"BEECH AIRCRAFT"
369,"LAKE 250",CONSOLIDATED
370,D35,"BEECH AIRCRAFT"
371,RV-10,"MELO TRANSPORTES E LOGÍSTICA LTDA"
372,"IKARUS C42B",Desconhecido
373,172S,"CESSNA AIRCRAFT"
374,310R,"CESSNA AIRCRAFT"
375,PC-12/47,PILATUS
376,RV-10,Desconhecido
377,95-A55,"BEECH AIRCRAFT"
378,AW119MKII,AGUSTA
379,"AS 350 BA","EUROCOPTER FRANCE"
380,G58,"HAWKER BEECHCRAFT"
381,"CORSARIO MK-5","DANIEL TOMIASI"
382,BO-105S,"EUROCOPTER DEUTSCHLAND"
383,RV-9A,Desconhecido
384,A150K,"CESSNA AIRCRAFT"
385,RV-10,"DOREEDSON RIBEIRO PEREIRA"
386,EMB-711,NEIVA
387,AW139,AGUSTA
388,AT-401B,"AIR TRACTOR"
389,PA-39,"PIPER AIRCRAFT"
390,GV-2,"IVAN MOLCHAN"
391,"FASCINATION D4",ULTRALEGER
392,"F1A EAGLE","Orion Ltda."
393,172G,"CESSNA AIRCRAFT"
394,EMB-110,EMBRAER
395,727-264,"BOEING COMPANY"
396,ADVENTURE,"TRIKE LTDA"
397,PC-6/B2-H4,PILATUS
398,"COMP AIR CA-7",Desconhecido
399,"BRAVO 700",Desconhecido
400,TBM700B,SOCATA
